id,name,thc,cbd,ratings_score,ratings_count,num_likes,min_price,max_price,slug,product_link
1563,Buuo 17/1 CDLC Chem de la Chem,17.0,0.1,3.33,3,12.0,,,buuo-17-1-cdlc-chem-de-la-chem,https://flowzz.com/product/buuo-17-1-cdlc-chem-de-la-chem
1564,avaay Signature 26/1 WB Waffle Bites,26.0,0.1,3.0,1,27.0,8.75,12.65,avaay-26-1-signature-waffle-bites,https://flowzz.com/product/avaay-26-1-signature-waffle-bites
1565,CNBS RNTZ 30/1,30.0,0.1,4.29,7,104.0,8.99,9.99,cnbs-30-1-rntz,https://flowzz.com/product/cnbs-30-1-rntz
1566,Breezy Organics CGL 22/1 Lime Haze,22.0,0.1,3.5,2,31.0,6.6,8.75,breezy-organics-cgl-22-1-lime-haze,https://flowzz.com/product/breezy-organics-cgl-22-1-lime-haze
1567,20/1 IUVO OC Orange Z,19.2,1.0,3.83,22,76.0,7.95,9.99,20-1-iuvo-oc-orange-z,https://flowzz.com/product/20-1-iuvo-oc-orange-z
1568,20/1 IUVO OC Lazer Fuel,20.7,1.0,4.0,8,37.0,6.9,100.0,20-1-iuvo-oc-lazer-fuel,https://flowzz.com/product/20-1-iuvo-oc-lazer-fuel
1569,20/1 IUVO OC Killer Cupcake,20.4,1.0,4.62,8,145.0,7.95,12.95,20-1-iuvo-oc-killer-cup,https://flowzz.com/product/20-1-iuvo-oc-killer-cup
1556,Canify Cannabis flos 25/1 PRT Ku. Black Cherry Pie Small buds,24.8,0.1,0.0,0,28.0,6.25,6.99,canify-cannabis-flos-25-1-prt-ku-black-cherry-pie-s,https://flowzz.com/product/canify-cannabis-flos-25-1-prt-ku-black-cherry-pie-s
1555, CannGo OCR 20/1 Orange Crasher by The BC Green,20.0,1.0,0.0,0,12.0,8.95,8.99,canngo-ocr-20-1-by-The-bc-green,https://flowzz.com/product/canngo-ocr-20-1-by-The-bc-green
1554,avaay Signature 23/1 BYY Blueberry Yum Yum,23.0,1.0,4.47,21,167.0,9.94,10.4,avaay-signature-23-1-byy-blueberry-yum-yum,https://flowzz.com/product/avaay-signature-23-1-byy-blueberry-yum-yum
1553,Tilray THC18 Spotlight Porto Lilac Diesel,18.0,0.1,5.0,1,43.0,4.89,9.98,tilray-thc18-spotlight-porto-lilac-diesel,https://flowzz.com/product/tilray-thc18-spotlight-porto-lilac-diesel
1551,IMC Cannabisblüten E6 THC25 Token Royal OG,25.0,0.1,4.0,3,152.0,5.47,9.98,imc-thc25-e6-royal-og,https://flowzz.com/product/imc-thc25-e6-royal-og
1550,Tilray THC22 Spotlight Porto Biscuit Rntz I,22.0,0.1,1.25,4,22.0,5.95,11.66,tilray-thc22-spotlight-porto-biscuit-rntz,https://flowzz.com/product/tilray-thc22-spotlight-porto-biscuit-rntz
1549,Tilray THC18 Spotlight Porto Frosted Cherry Cookies,18.0,0.1,3.0,1,53.0,5.49,7.49,tilray-thc18-spotlight-porto-frosted-cherry-cookies,https://flowzz.com/product/tilray-thc18-spotlight-porto-frosted-cherry-cookies
